Name,Rk,Uni,Birth,Pitcher/Position,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
Hao-Yu Lee,27,50,tw TW,Position,22,R,R,"5' 9""",190,Feb 3 2003,2021,redirect.fcgi?player=1&mlb_ID=701678
Jace Jung,28,17,us US,Position,24,L,R,"6' 0""",205,Oct 4 2000,2020,jungja01
Riley Greene,29,31,us US,Position,24,L,L,"6' 2""",200,Sep 28 2000,2019,greenri03
Kerry Carpenter,30,30,us US,Position,27,L,R,"6' 1""",220,Sep 2 1997,2017,carpeke01
Eduardo Valencia,31,32,ve VE,Position,25,R,R,"6' 2""",180,Jan 25 2000,2018,redirect.fcgi?player=1&mlb_ID=680664
Spencer Torkelson,32,20,us US,Position,25,R,R,"6' 1""",220,Aug 26 1999,2018,torkesp01
Wenceel Pérez,33,46,do DO,Position,25,S,R,"6' 0""",203,Oct 30 1999,2017,perezwe01
Trei Cruz,34,40,ca CA,Position,26,S,R,"6' 1""",204,Jul 5 1998,2018,redirect.fcgi?player=1&mlb_ID=669360
Jake Rogers,35,34,us US,Position,30,R,R,"6' 0""",201,Apr 18 1995,2014,rogerja03
Matt Vierling,36,8,us US,Position,28,R,R,"6' 2""",205,Sep 16 1996,2016,vierlma01
Jahmai Jones,37,18,us US,Position,27,R,R,"5' 10""",210,Aug 4 1997,2015,jonesja08
Zach McKinstry,38,39,us US,Position,30,L,R,"6' 0""",180,Apr 29 1995,2015,mckinza01
Gleyber Torres,39,25,ve VE,Position,28,R,R,"5' 11""",205,Dec 13 1996,2014,torregl01
Javier Báez,40,28,pr PR,Position,32,R,R,"5' 11""",190,Dec 1 1992,2011,baezja01
